ID,Name,Region,Type,"Avg. CPU Util."
"i-011a699287b8b01a7","Minion-app-1-Openshift","Asia Pacific (Mumbai)","t2.medium","0.14"
"i-0434325d6d16e5c1d","OpenamCORS-Ashok","Asia Pacific (Mumbai)","t2.medium","0.25"
"i-06030516c4a59d6b9","cf-mysql-broker/55b871c7-b9ba-4533-a7f6-82a28d0c0f4f","US East (N. Virginia)","m3.medium","0.34"
"i-0616167dd47325c89","proxy/dd2fb929-004c-4b4c-ba3c-5117fe4a3f2a","US East (N. Virginia)","m3.medium","0.38"
"i-064618ab10448c94f","proxy/738d9c50-04de-4b4d-88a4-13498dedddb4","US East (N. Virginia)","m3.medium","0.35"
"i-093d5205ef66a614b","Instance_for_MicroServices","Asia Pacific (Singapore)","t2.medium","0.12"
"i-0ac2fa3a42cbafc27","GP - ADM001","US East (N. Virginia)","t2.medium","0.21"
"i-0b6080c7a4ce9811a","cf-mysql-broker/c8a8ce60-0871-4083-9f1c-9688524f8ed3","US East (N. Virginia)","m3.medium","0.35"
"i-0cf5729f82095fb0d",Bastion01,"US East (N. Virginia)","t2.medium","0.19"
"i-0e75bc281c72c3504","NAT Instance","US East (N. Virginia)","t2.medium","0.03"
